運勢コード,運勢,願い事,商い,学問
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
3,小吉,叶わない,損あり,悪し
4,末吉,叶う,繁盛,良し
5,吉,努力が必要,損なし,普通
6,凶,叶わない,損あり,悪し
1,大吉,叶う,繁盛,良し
2,中吉,努力が必要,損なし,普通
